Protein accession	Protein name	Length	Score	Normalized abundance F1	Normalized abundance F2	Normalized abundance F3	Normalized abundance F4	Normalized abundance F5	Normalized abundance F6	Normalized abundance F7	Normalized abundance F8	Normalized abundance F9	Normalized abundance F10
P49418	Amphiphysin OS=Homo sapiens OX=9606 GN=AMPH PE=1 SV=1	695	2.6	965200.4833		842583.9887	2019013.919	1106629.52	2406128.769	4977106.713	4631693.623		3153947.141
P49747	Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2	757	0										
P51858	Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1	240	9.84	4941140.012	6447055.906	7054370.211	9223172.025	11467602.55	5156518.514	10896134.62	19370197.02	7087169.114	13309861.35
P52294	Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3	538	2.8										
P52788	Spermine synthase OS=Homo sapiens OX=9606 GN=SMS PE=1 SV=2	366	0	902863.5313	739254.1875	591083.1712	1118350.845	418534.7319			2228604.427	808964.8866	1373604.922
P54725	UV excision repair protein RAD23 homolog A OS=Homo sapiens OX=9606 GN=RAD23A PE=1 SV=1	363	11.05	417954.6721	417918.7188	524433.9658	1715468.402	38878324.57	492351.6882	10957512.21	656543.6378	338614.9063	8844667.422
P54727	UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1	409	8.49	2013462.992	663554.375		4396005.126	3240855.208				2171529.864	4203309.961
P55036	26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1	377	8.02	4137836.933	4620935.125	2217284.644	2660909.426	4128419.406	463694.8859	5251237.764	1613919.759	8103115.392	10874653.93
P55081	Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2	439	2.19	213842.1428		555251.4193						1052240.04	1223571.035
P55209	Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1	391	0	353704.8721		1063731.93				1784294.868		634456.3637	
P55327	Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2	224	4.62	775765.0045	300568.5938	3430739.283	1922106.275		2012187.227	1043253.435	984655.6157	811036.046	626584.681
P55884	Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3	814	71.86	8702570.78	12022169.03	15792845.24	9993393.902	673104.0251	3296276.004	17595832.95	22420783.1	18060159.97	31852987.88
P56537	Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1	245	51.37	6991902.752	5873404.656	14718949.58	13867991.62	6159024.177	4615846.972	11883360.88	17459383.13	18214168.86	21625824.62
P60660	Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2	151	170.41	106847388.5	117326459.2	111319160.4	178382453.3	60236752.96	38359514.03	387501040.1	236083093.1	131653814.8	248005462.4
P61225	Ras-related protein Rap-2b OS=Homo sapiens OX=9606 GN=RAP2B PE=1 SV=1	183	18.27	1176737.275	3600500.938	1935859.355	5958675.155	2357183.294	2084477.418	22497851.13	9568662.579	925131.338	6534971.003
P61421	V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1	351	15.43	4061760.302	774019.5	754078.1954	2204910.236	993736.54	9020328.385	16648678.77	5774032.91	2528316.952	5263369.511
P61923	Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1	177	15.35	6157742.159	3155065.25	4344488.916	3991376.482	1887155.796	2258929.227	6638755.189	7596379.664	5878001.842	8983470.886
P61981	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2	247	209.06	54656118.03	58063085	43477616.04	47500056.77	30057206.43	50162647.68	78551394.53	39729179.25	80208706.06	110426597.3
P62258	14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1	255	320.93	171894320.4	155596254.5	135854705.4	121096508	103528303.6	128346605.7	193731393.5	163520154.5	178857023.7	306891903.6
P62306	Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1	86	6.96	2014858.359	1590381.125	1212788.258	1616385.697	630106.908	1480669.269	4635414.56	1683096.599	1820359.388	4229744.649
P63104	14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1	245	603.06	1432305653	3699011313	2241241440	693432209.1	345093925.6	1351175998	6985909891	1597581227	2317046967	2835674306
P63208	S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2	163	5.73	1778355.6	737952.6563	3000336.521	6381724.873	5360473.924	1053962.669	5018866.057	5038660.453	3292537.894	5943033.445
P67936	Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3	248	428.35	233403650.9	487454573.6	205335295.6	281177307.6	139125602.7	75949646.07	218884053.4	415251323.6	290569533.7	163082824.2
P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	445	739.53	388142340.8	307884758	752403275.6	326169645.1	209689885.4	396419238.7	762079397.3	596078145.8	787170866.9	1062282789
P80723	Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2	227	286.19	149251204.7	181679875.4	74997382.44	302660498.4	107067729.6	155134938.9	428755662.6	864825522.1	62152470.43	46519179.89
Q01105	Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3	290	18.82	6652839.51	4306014.344	8050342.419	25718742.9	1313000.056	3835242.725	10183781.69	19044482	10950442.22	10084712.17
Q02413	Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2	1049	478.68	156844921.7	223550277.4	373579400.8	5813190.845	9224895.23	130092132.9	157991735.3	40603295.19	309998420	370438192.6
Q04695	"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2"	432	898.69	22218205.62	20737558.09	65615913.76	53139764.46	23424574.75	23434279.87	134266507.9	135608558.2	28358372.58	146161708.3
Q04917	14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4	246	121.6	17387756.16	15554580.56	10414059.11	30362592.85	9941438.71	23244258.68	87034118.78	25664033.73	8771827.603	23354567.81
Q07021	"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1"	282	22.48			4112851.088	669103.9433	1297638.581		2269040.374	14061135.33	9202880.341	2990321.788
Q09028	Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3	425	5.3	386103.1166		638733.2581	2244713.073				1655411.051	859679.9331	1386548.617
Q12765	Secernin-1 OS=Homo sapiens OX=9606 GN=SCRN1 PE=1 SV=2	414	2.9			742418.4687	578312.6905			2686848.765	1471936.188		2202572.153
Q12797	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3	758	0		155514.3594	464763.8418	958580.3471		186563.9022	4378392.686	901230.4735		890498.8326
Q13509	Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2	450	364.65										
Q13885	Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1	445	594.35	18193982.87	13135159.75	56441551.34	6382740.434	6227026.308	18597853.34	23891344.41	21823183.46	41858896.69	54365525.89
Q14116	Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1	193	98.66	68783679.86	62941868.19	64688869.39	10912811.19	14787509.66	69593014.3	94014590.72	5817513.851	67860061.26	157472818.4
Q14508	WAP four-disulfide core domain protein 2 OS=Homo sapiens OX=9606 GN=WFDC2 PE=1 SV=2	124	137.7	211748759	116888850.9	318127932.4	2393090.993	464866977.2	1536886883	6401590.937		728839420.4	1986905.068
Q14525	"Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3"	404	35.47	529113716.9	743522084.5	694664721.7	95620580.06	156020998.6	241577367.8	1897221155	617416344.2	434150503.2	3887029494
Q14532	"Keratin, type I cuticular Ha2 OS=Homo sapiens OX=9606 GN=KRT32 PE=1 SV=3"	448	27.4	511742926.6	736747238	690853232.9	95620580.06	156020998.6	238239916	1886434019	617416344.2	429254941.7	3881157421
Q14568	Heat shock protein HSP 90-alpha A2 OS=Homo sapiens OX=9606 GN=HSP90AA2P PE=1 SV=2	343	90.99	4469704.508	4569456.5	4275556.683	6216900.493	3514850.794	5469544.701	7482128.571	5873146.926	6734931.728	10984001.05
Q14974	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	876	175.76	33432020	41175108.41	46908656.7	47276472.52	30421153.84	32940130.64	80331408.59	60588101.82	63259561.74	98031539.24
Q15029	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	972	24.97	37130326.34	43219952	35610723.93	15023033.36	8215448.476	31455307.85	45573799.42	25272370.99	54102164.67	67528723.88
Q15121	Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2	130	15.39	2525385.612	4469948.5	3039275.674	2420721.685			6205525.155	3222142.888	6275350.402	10509787.02
Q15185	Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1	160	34.4	5841336.623	5573281.25	10372804.11	4075045.5	4061358.38	4438449.755	5366817.036	9804827.517	11541428.03	7894400.007
Q15323	"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3"	416	35.47	529113716.9	743522084.5	694664721.7	95620580.06	156020998.6	241577367.8	1897221155	617416344.2	434150503.2	3887029494
Q15369	Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1	112	2.22		568063.9375	741984.9663	882039.5332			2390006.916		895769.7175	1901941.869
Q15370	Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1	118	2.65	1121760.895	460869.5938	902446.5179			820833.4913		445846.2042		1834168.181
Q15435	Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1	360	37.32	1961450.659	3307729.063	4837425.178	3803971.208	2288523.074	394529.4081	4335448.873	5911048.706	6222139.458	11471409.96
Q15771	Ras-related protein Rab-30 OS=Homo sapiens OX=9606 GN=RAB30 PE=1 SV=2	203	5.38	75450868.84	50549603.5	41662093.65	43513326.85	19990422.24	42528362.18	94643554.77	61614591.16	49848958.71	92035343.56
Q1KMD3	Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1	747	36.71	4890760.35	1628172.438	3087356.079	6746359.703	2801319.503	1012656.738	7425695.844	20849028.34	5022181.164	29237175.21
Q2M2I5	"Keratin, type I cytoskeletal 24 OS=Homo sapiens OX=9606 GN=KRT24 PE=1 SV=1"	525	88.18	6104312.46	4551618.75	2628570.488	1226615.788	783674.5876	3445719.516	32629972.1	7462960.34	7510473.819	11508828.88
Q32MZ4	Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2	808	54.66	3653894.859	6753029.625	16094557.87	12680847.61	9744229.723	16352691.71	9806101.641	20219887.92	29479203.51	24514037.93
Q3ZCM7	Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2	444	194.3	150042873.1	140423412.8	279577726.5	110926897.8	73023797.94	146269058.7	270847768.8	229718872.9	314916105.8	429301600.9
Q58FF6	Putative heat shock protein HSP 90-beta 4 OS=Homo sapiens OX=9606 GN=HSP90AB4P PE=5 SV=1	505	44.66	4936126.782	3623897.75	6757891.613	5031328.459	1348584.619		7008454.794	4602078.821	5869440.51	9449815.102
Q58FF7	Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens OX=9606 GN=HSP90AB3P PE=5 SV=1	597	199.67	155832801.2	142474679.5	115939796.6	121483811	38064516.3	97510475.78	232782278.6	180658804.7	168180577.2	300888635.6
Q58FF8	Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2	381	147.17	163701641.1	160927440.4	151785075.4	142145361.6	56909601.76	142072252.6	260636320.7	198357954.4	234170289.3	369372671.1
Q5JWF2	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens OX=9606 GN=GNAS PE=1 SV=2	1037	81.71	41734533.99	25954999.41	8073230.63	6503477.563	3919816.619	20500221.68	32411887.19	11743914.24	9749523.326	18296298.82
Q5SSG8	Mucin-21 OS=Homo sapiens OX=9606 GN=MUC21 PE=1 SV=2	566	74.38	6357351.263	6609221.625	31844145.57	2025025.867	2946110.811	20336192.29	6868283.819	13646033.32	43931927.15	9790663.555
Q6A162	"Keratin, type I cytoskeletal 40 OS=Homo sapiens OX=9606 GN=KRT40 PE=1 SV=2"	431	8.07	17370790.33	6774846.5	3811488.808			3337451.842	10787135.34		4895561.489	5872073.163
Q6IS14	Eukaryotic translation initiation factor 5A-1-like OS=Homo sapiens OX=9606 GN=EIF5AL1 PE=2 SV=2	154	71.44	17433634.18	21911998.97	17424627.85	7886200.702	19417167.01	8333567.718	17844832.17	13069268.22	15939762.6	33252091.86
Q6ZVM7	TOM1-like protein 2 OS=Homo sapiens OX=9606 GN=TOM1L2 PE=1 SV=1	507	4.44	6272313.957	6763717.148	7604654.381	1125551.377	302321.2046	3383853.328	5844894.937	5200886.149	7008649.279	10698747.16
Q7Z3Y9	"Keratin, type I cytoskeletal 26 OS=Homo sapiens OX=9606 GN=KRT26 PE=1 SV=2"	468	136.58	578070263.9	643859990	1833386594	89545457.96	329312723.2	594111229.1	471296292.9	1198326712	1100564904	1334694361
Q8IWE2	Protein NOXP20 OS=Homo sapiens OX=9606 GN=FAM114A1 PE=1 SV=2	563	3.2	1245773.381	1047071.25	867436.2635	1202231.866	267067.2287		2034961.372	1757868.431	1459767.725	2491016.334
Q8N196	Homeobox protein SIX5 OS=Homo sapiens OX=9606 GN=SIX5 PE=1 SV=3	739	6.54	604725.4836	2861768.25	2473590.302	4422794.716	1081162.219	1536561.105	24625489.45	16576588.7	2063313.688	5114901.884
Q8N4U5	T-complex protein 11-like protein 2 OS=Homo sapiens OX=9606 GN=TCP11L2 PE=1 SV=1	519	7.38	602797.3747	1208223.531	2229920.881	205892.7302			423424.45	1221745.195	2456438.017	3612090.156
Q8N5J2	Ubiquitin carboxyl-terminal hydrolase MINDY-1 OS=Homo sapiens OX=9606 GN=MINDY1 PE=1 SV=2	469	0								183574.2013		1550013.354
Q8NBJ4	Golgi membrane protein 1 OS=Homo sapiens OX=9606 GN=GOLM1 PE=1 SV=1	401	41.58	17907809.73	248538332.8	168059727.8	2015129.949	4052914.357	190939841.8	613593356.3	65564070.7	73596926.61	68407956
Q8TF05	Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PPP4R1 PE=1 SV=1	950	22.9	5206410.575	3925128.469	8531161.055	1844010.859	630992.3042	2747746.242	18896808.08	15395330.28	16625528.76	34591390.88
Q8WVT3	Trafficking protein particle complex subunit 12 OS=Homo sapiens OX=9606 GN=TRAPPC12 PE=1 SV=3	735	3.14			378108.2668	1973672.331	1618251.224		1507324.254		667105.9413	1132457.711
Q92688	Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1	251	15.29	514233.4145	227118.375	2144436.61		818331.4348		983774.7854	1924817.923	1498577.711	1642217.157
Q92764	"Keratin, type I cuticular Ha5 OS=Homo sapiens OX=9606 GN=KRT35 PE=1 SV=5"	455	33.79		1139980.625	6370704.475	1797713.449		2878004.995	2583710.896	4281367.622	5025622.73	5980325.412
Q92783	Signal transducing adapter molecule 1 OS=Homo sapiens OX=9606 GN=STAM PE=1 SV=3	540	4.82	726270.0235	901087.75	1169899.455			954182.5562				3001561.631
Q92973	Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2	898	34.99	4648226.931	4134306.281	9897067.929	5901980.711	3615911.244	5580987.784	18008879.92	19527632.28	6392471.379	17359320.72
Q96A33	PAT complex subunit CCDC47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1	483	5.15	348019.9006	557811.5	1740726.146	550227.9201	309193.4146	590735.5475	2891180.524	2914433.402	2112040.347	2665902.044
Q96C90	Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens OX=9606 GN=PPP1R14B PE=1 SV=3	147	10.66		683529.9375	2701106.158			962140.7599	1829088.854	1711017.854	2436221.158	5622480.161
Q96FW1	Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2	271	85.36	27947218.86	23722334.13	48800960.58	31833421.5	15325210.86	12423527.61	122088419.3	148970051.5	35143531.21	193271375.9
Q96JB5	CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens OX=9606 GN=CDK5RAP3 PE=1 SV=2	506	2.95		116409.3594					678505.8572		83664.32807	
Q96NY7	Chloride intracellular channel protein 6 OS=Homo sapiens OX=9606 GN=CLIC6 PE=2 SV=3	704	90.33	123874044.4	59150250.56	3634385.384	11710458	47001275.71	73384236.02	28335240.69	5584872.088	8881353.315	4017274.031
Q99456	"Keratin, type I cytoskeletal 12 OS=Homo sapiens OX=9606 GN=KRT12 PE=1 SV=1"	494	763.72		2054576.625	3998038.27			3233010.512	981899.1981	882706.3841	1463044.535	3646244.055
Q99733	Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1	375	0	472165.5113	320856.125	941306.007	818711.9189	619329.293	469220.4849	1753750.625	576806.722	768911.6394	1380002.95
Q99828	Calcium and integrin-binding protein 1 OS=Homo sapiens OX=9606 GN=CIB1 PE=1 SV=4	191	11.4	9860520.438	2474690.188		1276656.281	495560.3587	4063837.96	6905848.259	2121795.065		
Q9BPY8	Homeodomain-only protein OS=Homo sapiens OX=9606 GN=HOPX PE=1 SV=1	73	2.47	710680.417	1144939.375	4948787.645				1677674.675		1450274.395	2560778.547
Q9BRK5	45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1	362	35.89	40651895.68	34924759.75	1444335.969		4960281.937	31145511.32	1662574.797		2287147.92	
Q9BSL1	Ubiquitin-associated domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBAC1 PE=1 SV=1	405	6.19			303738.8397		6166411.283		2644231.492	325990.1537		756449.7584
Q9BTT0	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1	268	5.82	918502.4682	129271.625	1856676.214	2777726.007	886294.7711		3794480.265	6717419.383	571830.8888	4472042.204
Q9BUF5	Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1	446	275.45	15052988.01	84057920.69	34948308.6	7612301.425	9606460.443	32529846.85	28570514.83	51807164.46	56231667.5	55774906.92
Q9BVA1	Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1	445	611.14										
Q9BZK3	Putative nascent polypeptide-associated complex subunit alpha-like protein OS=Homo sapiens OX=9606 GN=NACA4P PE=5 SV=1	213	1.76	1073793.429	903516.9375	1275560.441				1179096.48	2233741.4	1461045.126	1639337.214
Q9BZQ8	Protein Niban 1 OS=Homo sapiens OX=9606 GN=NIBAN1 PE=1 SV=1	928	27.69	4807902.065	2990352.906	3442460.902	6416758.608		6286351.747	23676467.32	11280276.86	2263478.794	11452326.67
Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4	1729	27.73	3504435.022	1585361.688	18515385.01		922533.134		982818.0548	3224318.288	12079791.93	25478068.45
Q9GZZ9	Ubiquitin-like modifier-activating enzyme 5 OS=Homo sapiens OX=9606 GN=UBA5 PE=1 SV=1	404	0	628857.0199	316658.875	1000690.091	388354.937	445674.8256		1081746.309	632445.4347	596517.2902	874812.2284
Q9H299	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1	93	33.38	9478633.043	22549763.5	32539724.1	3641054.994	321938.2324	23470879.52	40883814.22	13453031.88	17849001.59	16237341.97
Q9H3N1	Thioredoxin-related transmembrane protein 1 OS=Homo sapiens OX=9606 GN=TMX1 PE=1 SV=1	280	11.25	2729672.618	3738621.625	3730560.678	3863696.582	1820445.695	4054837.873	23969399.03	8254630.111	6882601.314	9233987.4
Q9H444	Charged multivesicular body protein 4b OS=Homo sapiens OX=9606 GN=CHMP4B PE=1 SV=1	224	33.51	13409290.12	11001572.75	11612477.12	1631124.281	1920776.284	17956057.7	29759268.14	10858717.52	12959801.91	4757382.612
Q9H8Y8	Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3	452	17.26	1570410.186	2008970.656	3504978.326	3120096.77		1803839.422	2818485.462	4999546.783	4577296.672	6003853.086
Q9NQC3	Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2	1192	118.37	49973308.02	29967411.44	66897393.36	21905441.34	18691506.77	94358263.48	96994225.84	73647257.29	66385374.9	105687213.8
Q9NQL2	Ras-related GTP-binding protein D OS=Homo sapiens OX=9606 GN=RRAGD PE=1 SV=1	400	3.79	861930.1146		655789.7308	3024965.539			3861932.685	4506868.353		
Q9NT62	Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1	314	10.91		699493.75	753031.0096	1700229.646	1348534.232		4556056.525	2155270.606	1014245.535	2266075.186
Q9NWB7	Intraflagellar transport protein 57 homolog OS=Homo sapiens OX=9606 GN=IFT57 PE=1 SV=1	429	0	1119318.252		101052.9865	346073.2279	110892.1974	652469.8995			312400.391	
Q9NZA1	Chloride intracellular channel protein 5 OS=Homo sapiens OX=9606 GN=CLIC5 PE=1 SV=3	410	71.95	120439168.5	42250662.3	685057.3746	52725328.07	11870297.54	44481091.58	11584327.61	1735330.721	889862.3844	1613811.456
Q9NZT1	Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2	146	119.49	103914965.1	147118077.5	144537319.6	10195919.08	8786509.235	61152214.93	91992699	119601476.7	197540093.7	281091499
Q9NZT2	Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3	677	4.36	113319.8414	138099.6094	249285.4094				827091.3966			968557.034
Q9P0R6	GSK3B-interacting protein OS=Homo sapiens OX=9606 GN=GSKIP PE=1 SV=2	139	0	409001.6933									1033911.14
Q9UBQ5	Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1	218	9.32	1579792.271	1022733.563	2206487.968			1238091.988	4359376.086	3080411.833	2113227.067	4885465.691
Q9UPN7	Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PPP6R1 PE=1 SV=5	881	4.24			754389.7624				5248482.292	2410457.441		2699856.428
Q9Y2B0	Protein canopy homolog 2 OS=Homo sapiens OX=9606 GN=CNPY2 PE=1 SV=1	182	2.55	989197.4309			4157055.339	2445970.554		3933162.627			
Q9Y2Y8	Proteoglycan 3 OS=Homo sapiens OX=9606 GN=PRG3 PE=1 SV=2	225	2.76	1215909.945		2264053.088		4579054.212		5089167.701	2519244.38	910636.1741	1536091.444
Q9Y3L5	Ras-related protein Rap-2c OS=Homo sapiens OX=9606 GN=RAP2C PE=1 SV=1	183	6.01	306254.606	3457491.25	155252.7294	2666725.642	215476.4345	457598.789	11030697.99	3572858.889	658897.4551	4782071.759
Q9Y5Z4	Heme-binding protein 2 OS=Homo sapiens OX=9606 GN=HEBP2 PE=1 SV=1	205	68.14	17890068.66	16007337.31	27376938.07	27237664.63	5885292.613	15119070.22	28290957.53	27177916.87	27961886.06	47737161.22
V1000004	V1000004	312	7.58										
V1000144	V1000144	257	10.41			5226379.815	1299367.02	866923.1819		17734147.27		389209.0335	17379302.95
V1000305	V1000305	428	100.2	797103.2916	1633987.703	61767301.94	1221982.097	422202.228		195468688.7	2566064.624	570998.1236	56341061.55
V1000376	V1000376	696	30.26			2108148.346				4833145.042			1370235.593
V1000527	V1000527	696	32.03			4672204.448	3195701.869			6671649.378		161051.229	2414458.946
V1000596	V1000596	544	107.46	4870014.59	42435046.75	16169433.71	5283747.299	684804.5718		201615549	4716630.41	22425575.62	83754263.71
V1000616	V1000616	836	3.28			5630957.799							
V1000641	V1000641	251	24.31			6997740.665		585581.0824		3248914.135	233704.2435		1634251.438
V1000793	V1000793	242	2.22	2461749.701	7898411	426106.1316							
V1000814	V1000814	251	5.11	6013217.614	15608627	2924712.068				1815917.259			1365080.358
V1000845	V1000845	446	23.46	390243.9791	131514.3281	11659895.25	772793.768	238712.2981		41011967.38		2359449.446	5762333.357
V1001086	V1001086	120	17.64	11713393.62	100189026.5	6349818.08	6021049.595	1315117.331	863670.496	26971440.21		600957.9531	12404333.67
V1001104	V1001104	578	2	1451999.59	316303.4688			266795.3369				409897.6895	
V1001184	V1001184	480	35.77	836308.7928	1286870.313	267940.8076				322858.94		1888306.243	
V1001230	V1001230	445	2.07			3639675.142	772793.768			8521422.387		1402809.176	
V1002073	V1002073	227	2.1	8947220.787	13005704	2301489.826				9856250.355	1912993.433	855843.0795	12262636.51
V1002378	V1002378	291	2.61			737320.5517				4672686.986			770266.0324
V1002447	V1002447	276	8.81	5057295.149	11596581					9177228.259		396314.6452	7166565.477
V1002465	V1002465	233	5.43										
V1007294	V1007294	335	25.94	39130401.2	35632063.63	42344455.08	57281996.45	47773259.34	62344103.39	47442377.04	100469931	72187717.24	72667287.68
V1007488	V1007488	611	17.55										
V1008768	V1008768	470	36.37	7506623.652	6749031	5711892.297	14831303.05	3212975.557	6665902.591	28283726.22	21135114.08	14308766.31	23270958.69
V1008770	V1008770	502	10.6	781662.8776	1458744.75	216588.1012							
V1009516	V1009516	431	2.29		216944.2344	2982790.201		75750.98367	1487176.198		1045659.818		
V1010412	V1010412	693	2.63	930962.3352	3578047.75		801208.0223			1092233.9	1115581.073		
V1010659	V1010659	484	8.01	4164456.576	1907942.313	3147501.72	10041985.02	2111044.146	3687036.505	19605454.02	14984446.18	8936236.303	13690211.27
V1011041	V1011041	509	36.37	7506623.652	6749031	5711892.297	14831303.05	3212975.557	6665902.591	28283726.22	21135114.08	14308766.31	23270958.69
V1011748	V1011748	335	8.29	27377728.34	44527561	820979.1815	7557079.448	2956980.141	3992040.849	5318338.888	4327400.512	2684705.039	6593361.258
V1013630	V1013630	314	2.54		1492895.125								449525.5482
V1014425	V1014425	428	3.07	1984043.305	7515451.5					5197108.436			
V1014772	V1014772	705	2.63	930962.3352	3578047.75		801208.0223			1092233.9	1115581.073		
V1015048	V1015048	539	10.81	7718091.722	19017580	4915760.511				18520078.17			14583318.42
V1015115	V1015115	704	2.63	930962.3352	3578047.75		801208.0223			1092233.9	1115581.073		
V1015150	V1015150	704	2.63	930962.3352	3578047.75		801208.0223			1092233.9	1115581.073		
V1015188	V1015188	495	4.95										
V1016241	V1016241	698	2.63	930962.3352	3578047.75		801208.0223			1092233.9	1115581.073		
V1018256	V1018256	508	36.37	7506623.652	6749031	5711892.297	14831303.05	3212975.557	6665902.591	28283726.22	21135114.08	14308766.31	23270958.69
